ceg,data_inicio_operacao,capacidade_instalada,id,codigo,nome,subsistema,latitude,longitude,coordenadas_aproximadas
EOL.CV.BA.032536-8.01,2021-12-01,11,162,BAEB14,VENTOS DA BAHIA XIV,NE,-12.05,-41.43,FALSE
EOL.CV.BA.032641-0.01,2020-09-01,29.4,170,BASJ04,VENTOS DE SAO JANUARIO 4,NE,-10.38,-40.45,FALSE
EOL.CV.BA.032644-5.01,2020-12-01,33.6,172,BASJ05,VENTOS DE SAO JANUARIO 05,NE,-10.28,-40.43,FALSE
EOL.CV.BA.032644-5.01,2021-03-01,-33.6,172,BASJ05,VENTOS DE SAO JANUARIO 05,NE,-10.28,-40.43,FALSE
EOL.CV.BA.032644-5.01,2021-03-01,42,172,BASJ05,VENTOS DE SAO JANUARIO 05,NE,-10.28,-40.43,FALSE
EOL.CV.BA.032759-0.01,2018-06-01,30,173,BAEBVT,Boa Vista da Lagoinha,NE,-11.76,-41.39,FALSE
EOL.CV.BA.032884-7.01,2018-06-01,28,174,BAESTA,Ventos do Santo Abraão,NE,-11.62,-41.35,FALSE
EOL.CV.BA.033508-8.01,2020-10-01,33.6,175,BASJ01,Ventos de Sao Januario,NE,-10.32,-40.43,FALSE
EOL.CV.BA.033521-5.01,2020-11-01,33.6,176,BASJ03,Ventos de Sao Januario 03,NE,-10.31,-40.44,FALSE
EOL.CV.BA.033523-1.01,2020-11-01,12.6,177,BASJ06,VENTOS DE SAO JANUARIO 06,NE,-10.41,-40.46,FALSE
EOL.CV.BA.033523-1.01,2020-12-01,-12.6,177,BASJ06,VENTOS DE SAO JANUARIO 06,NE,-10.41,-40.46,FALSE
EOL.CV.BA.033523-1.01,2020-12-01,16.8,177,BASJ06,VENTOS DE SAO JANUARIO 06,NE,-10.41,-40.46,FALSE
EOL.CV.BA.033523-1.01,2021-04-01,-16.8,177,BASJ06,VENTOS DE SAO JANUARIO 06,NE,-10.41,-40.46,FALSE
EOL.CV.BA.033523-1.01,2021-04-01,29.4,177,BASJ06,VENTOS DE SAO JANUARIO 06,NE,-10.41,-40.46,FALSE
EOL.CV.BA.033523-1.01,2021-05-01,-29.4,177,BASJ06,VENTOS DE SAO JANUARIO 06,NE,-10.41,-40.46,FALSE
EOL.CV.BA.033523-1.01,2021-05-01,37.8,177,BASJ06,VENTOS DE SAO JANUARIO 06,NE,-10.41,-40.46,FALSE
EOL.CV.BA.033529-0.01,2021-01-01,4.2,178,BASJ10,VENTOS DE SAO JANUARIO 10,NE,-5.15,-36.04,FALSE
EOL.CV.BA.033529-0.01,2021-02-01,-4.2,178,BASJ10,VENTOS DE SAO JANUARIO 10,NE,-5.15,-36.04,FALSE
EOL.CV.BA.033529-0.01,2021-02-01,21,178,BASJ10,VENTOS DE SAO JANUARIO 10,NE,-5.15,-36.04,FALSE
EOL.CV.BA.033529-0.01,2021-03-01,-21,178,BASJ10,VENTOS DE SAO JANUARIO 10,NE,-5.15,-36.04,FALSE
EOL.CV.BA.033529-0.01,2021-03-01,37.8,178,BASJ10,VENTOS DE SAO JANUARIO 10,NE,-5.15,-36.04,FALSE
EOL.CV.BA.033529-0.01,2021-04-01,-37.8,178,BASJ10,VENTOS DE SAO JANUARIO 10,NE,-5.15,-36.04,FALSE
EOL.CV.BA.033529-0.01,2021-04-01,42,178,BASJ10,VENTOS DE SAO JANUARIO 10,NE,-5.15,-36.04,FALSE
EOL.CV.BA.033530-4.01,2021-01-01,29.4,179,BASJ11,VENTOS DE SAO JANUARIO 11,NE,-10.44,-41.57,FALSE
EOL.CV.BA.033530-4.01,2021-05-01,-29.4,179,BASJ11,VENTOS DE SAO JANUARIO 11,NE,-10.44,-41.57,FALSE
EOL.CV.BA.033530-4.01,2021-05-01,37.8,179,BASJ11,VENTOS DE SAO JANUARIO 11,NE,-10.44,-41.57,FALSE
EOL.CV.BA.033530-4.01,2021-06-01,-37.8,179,BASJ11,VENTOS DE SAO JANUARIO 11,NE,-10.44,-41.57,FALSE
EOL.CV.BA.033530-4.01,2021-06-01,42,179,BASJ11,VENTOS DE SAO JANUARIO 11,NE,-10.44,-41.57,FALSE
EOL.CV.BA.033532-0.01,2020-09-01,33.6,180,BASJ13,VENTOS DE SAO JANUARIO 13,NE,-10.34,-40.44,FALSE
EOL.CV.BA.033532-0.01,2020-10-01,-33.6,180,BASJ13,VENTOS DE SAO JANUARIO 13,NE,-10.34,-40.44,FALSE
EOL.CV.BA.033532-0.01,2020-10-01,42,180,BASJ13,VENTOS DE SAO JANUARIO 13,NE,-10.34,-40.44,FALSE
EOL.CV.BA.033533-9.01,2020-09-01,37.8,181,BASJ14,VENTOS DE SAO JANUARIO 14,NE,-10.36,-40.44,FALSE
EOL.CV.BA.033533-9.01,2020-10-01,-37.8,181,BASJ14,VENTOS DE SAO JANUARIO 14,NE,-10.36,-40.44,FALSE
EOL.CV.BA.033533-9.01,2020-10-01,42,181,BASJ14,VENTOS DE SAO JANUARIO 14,NE,-10.36,-40.44,FALSE
EOL.CV.BA.033626-2.01,2019-04-01,25,185,BAELA3,Laranjeiras III,NE,-11.03,-42.63,FALSE
EOL.CV.BA.033627-0.01,2019-04-01,25,186,BAELA9,Laranjeiras IX,NE,-11.08,-42.62,FALSE
EOL.CV.BA.033628-9.01,2018-08-01,29.7,187,BAECLC,Campo Largo III,NE,-10.5,-41.54,FALSE
EOL.CV.BA.033629-7.01,2018-08-01,29.7,188,BAECLD,Campo Largo IV,NE,-10.49,-41.51,FALSE
EOL.CV.BA.033630-0.01,2018-10-01,29.7,189,BAECLE,Campo Largo V,NE,-10.42,-41.43,FALSE
EOL.CV.BA.033631-9.01,2018-11-01,29.7,190,BAECLF,Campo Largo VI,NE,-10.42,-41.4,FALSE
EOL.CV.BA.033632-7.01,2018-07-01,29.7,191,BAECLG,Campo Largo VII,NE,-10.52,-41.49,FALSE
EOL.CV.BA.033633-5.01,2018-10-01,29.7,192,BAECLU,Campo Largo XXI,NE,-10.45,-41.45,FALSE
EOL.CV.BA.033634-3.01,2019-02-01,22.5,193,BAEURQ,Umburanas 17,NE,-10.71,-41.61,FALSE
EOL.CV.BA.033635-1.01,2019-02-01,25,194,BAEURS,Umburanas 19,NE,-10.68,-41.61,FALSE
EOL.CV.BA.033636-0.01,2019-01-01,22.5,195,BAEURU,Umburanas 21,NE,-10.66,-41.6,FALSE
EOL.CV.BA.033637-8.01,2019-03-01,15,196,BAEURW,Umburanas 23,NE,-10.64,-41.61,FALSE
EOL.CV.BA.033639-4.01,2019-03-01,17.5,197,BAEURY,Umburanas 25,NE,-10.65,-41.58,FALSE
EOL.CV.BA.033648-3.01,2018-06-01,28,198,BAESTD,Ventos da Santa Dulce,NE,-11.6,-41.33,FALSE
EOL.CV.BA.033649-1.01,2018-06-01,28,199,BAESTE,Ventos da Santa Esperança,NE,-11.6,-41.31,FALSE
EOL.CV.BA.033650-5.01,2018-06-01,30,200,BAESMR,Ventos do São Mário,NE,-11.59,-41.23,FALSE
EOL.CV.BA.033652-1.01,2018-06-01,28,201,BAESPL,Ventos do São Paulo,NE,-11.57,-41.3,FALSE
EOL.CV.BA.034509-1.01,2021-11-01,42,204,BAES17,VENTOS DE SANTA ESPERANCA 17,NE,-11.5,-41.29,FALSE
EOL.CV.BA.034511-3.01,2021-11-01,46.2,205,BAES21,VENTOS DE SANTA ESPERANCA 21,NE,-11.55,-41.28,FALSE
EOL.CV.BA.034512-1.01,2021-12-01,46.2,206,BAES22,VENTOS DE SANTA ESPERANCA 22,NE,-11.52,-41.27,FALSE
EOL.CV.BA.034513-0.01,2021-12-01,25.2,207,BAES25,VENTOS DE SANTA ESPERANCA 25,NE,-11.59,-41.33,FALSE
EOL.CV.BA.034514-8.01,2021-11-01,46.2,208,BAES26,VENTOS DE SANTA ESPERANCA 26,NE,-11.53,-41.32,FALSE
EOL.CV.BA.034613-6.01,2018-09-01,29.7,209,BAECLA,Campo Largo I,NE,-10.47,-41.49,FALSE
EOL.CV.BA.034614-4.01,2021-05-01,33.6,210,BAEC08,CAMPO LARGO VIII,NE,-10.46,-41.39,FALSE
EOL.CV.BA.034622-5.01,2021-09-01,42,211,BAEC13,CAMPO LARGO XIII,NE,-10.4,-41.49,FALSE
EOL.CV.BA.034623-3.01,2021-08-01,33.6,212,BAEC12,CAMPO LARGO XII,NE,-10.4,-41.44,FALSE
EOL.CV.BA.034623-3.01,2021-09-01,-33.6,212,BAEC12,CAMPO LARGO XII,NE,-10.4,-41.44,FALSE
EOL.CV.BA.034623-3.01,2021-09-01,54.6,212,BAEC12,CAMPO LARGO XII,NE,-10.4,-41.44,FALSE
EOL.CV.BA.034625-0.01,2021-09-01,16.8,213,BAEC11,CAMPO LARGO XI,NE,-10.4,-41.44,FALSE
EOL.CV.BA.034630-6.01,2021-03-01,33.6,214,BAEC10,CAMPO LARGO X,NE,-10.5,-41.48,FALSE
EOL.CV.BA.034631-4.01,2021-02-01,25.2,215,BAEC09,CAMPO LARGO IX,NE,-10.46,-41.39,FALSE
EOL.CV.BA.034633-0.01,2018-12-01,29.7,216,BAECLB,Campo Largo II,NE,-10.51,-41.45,FALSE
EOL.CV.BA.034634-9.01,2021-03-01,21,217,BAEC14,CAMPO LARGO XIV,NE,-10.44,-41.5,FALSE
EOL.CV.BA.034636-5.01,2018-11-01,29.7,218,BAECLO,Campo Largo XV,NE,-10.51,-41.45,FALSE
EOL.CV.BA.034637-3.01,2018-09-01,29.7,219,BAECLP,Campo Largo XVI,NE,-10.44,-41.47,FALSE
EOL.CV.BA.034638-1.01,2021-04-01,29.4,220,BAEC17,CAMPO LARGO XVII,NE,-10.46,-41.51,FALSE
EOL.CV.BA.034643-8.01,2018-10-01,29.7,221,BAECLR,Campo Largo XVIII,NE,-10.44,-41.5,FALSE
EOL.CV.BA.034645-4.01,2021-05-01,33.6,222,BAEC19,CAMPO LARGO XIX,NE,-10.44,-41.57,FALSE
EOL.CV.BA.034647-0.01,2021-06-01,37.8,223,BAEC20,CAMPO LARGO XX,NE,-10.48,-41.57,FALSE
EOL.CV.BA.034648-9.01,2021-06-01,33.6,224,BAEC22,CAMPO LARGO XXII,NE,-10.5,-41.61,FALSE
EOL.CV.BA.034717-5.01,2018-11-01,27.3,233,BAESEM,Ventos de Santa Emília,NE,-11.01,-41.23,FALSE
EOL.CV.BA.034736-1.01,2018-11-01,27.3,234,BAESAC,Ventos de Santa Aparecida,NE,-10.91,-41.22,FALSE
EOL.CV.BA.034738-8.01,2018-11-01,27.3,235,BAESBE,Ventos da Santa Beatriz,NE,-10.94,-41.23,FALSE
EOL.CV.BA.034739-6.01,2018-11-01,27.3,236,BAESGA,Ventos do São Gabriel,NE,-10.96,-41.23,FALSE
