USI_ID;ID_AGRUPAMENTO;ID_PONTO_CONEXAO;ID_SUBSISTEMA;ID_EMPREENDIMENTO;ID_AGENTE;ID_MODALIDADE;NOME;TP_USINA;TAG_PI;CEG_ANEEL;COD_CCEE;LATITUDE;LONGITUDE;POT_INSTALADA;FLAG_PROGRAMADA;DT_ENTRADA_OPER;DT_DESATIVACAO;VLR_GF_ENERGIA;VLR_GF_POTENCIA;FLAG_MERCADO;UF;NOME_SIMPLES;ID_QUADRICULA;COD_PI;DT_INCLUSAO;FLAG_HISTORICO;FLAG_SIMULADA;ID_CONJUNTO_PDES_OLD;ID_CONJUNTO_PDP;DT_ENTRADA_TESTE;LATITUDE_;LONGITUDE_;LOCALIZACAO;DT_ENTRADA_SIMUL;ID_SUBSISTEMA_SIMUL;FLAG_SUSPENSA;FLAG_LEILAO;ID_CONJUNTO_BDT;ID_PONTO_CONEXAO_BDT;ID_CONJUNTO_PDES
RSPARQ;999;999;S;NULL;NULL;10;PARQUE EOLICO DE PALMARES;UEE;NULL;EOL.CV.RS.028855-1.01;NULL;-30.45;-50.39;9200.00;0;29/12/2010;NULL;NULL;NULL;NULL;RS;PARQUE EOLICO DE PALMARES;NULL;RSPARQ;06/08/2020;S;0;NULL;NULL;NULL;-304,580;-503,906;NULL;NULL;S;N;NULL;NULL;NULL;
RSREB1;165;54;S;NULL;352;14;REB Cassino I;UEE;RSUECU_GE_TOT_MW.v;EOL.CV.RS.030469-7.01;NULL;-32.22;-52.20;22000.00;1;14/01/2015;NULL;8.90;NULL;NULL;RS;REB CASSINO I;152;RSUECU;16/05/2017;N;1;40-----;71;NULL;-322,169;-522,040;L;14/01/2015;S;N;S;88;41;CJT-40
RSREB2;165;54;S;NULL;353;14;REB Cassino II;UEE;RSUECD_GE_TOT_MW.v;EOL.CV.RS.030477-8.01;NULL;-32.21;-52.21;20000.00;1;14/01/2015;NULL;8.00;NULL;NULL;RS;REB CASSINO II;152;RSUECD;16/05/2017;N;1;40-----;71;NULL;-322,103;-522,120;L;14/01/2015;S;N;S;88;41;CJT-40
RSREB3;165;54;S;NULL;351;14;REB Cassino III;UEE;RSUECT_GE_TOT_MW.v;EOL.CV.RS.030468-9.01;NULL;-32.22;-52.20;22000.00;1;14/01/2015;NULL;9.50;NULL;NULL;RS;REB CASSINO III;152;RSUECT;16/05/2017;N;1;40-----;71;NULL;-322,183;-522,030;L;14/01/2015;S;N;S;88;41;CJT-40
RSUECI;169;53;S;NULL;347;9;CIDREIRA;UEE;RSUECI_GE_TOT_MW.v;EOL.CV.RS.028712-1.01;NULL;-30.08;-50.17;70000.00;1;21/05/2011;NULL;NULL;NULL;NULL;RS;CIDREIRA;152;RSUECI;16/05/2017;N;1;----RSUECI-;37;NULL;-300,791;-501,721;L;21/05/2011;S;N;N;900;85;USI-RSUECI
RSUEXG;170;51;S;NULL;380;9;XANGRI-LÁ;UEE;RSUEXG_GE_TOT_MW.v;EOL.CV.RS.031302-5.01;NULL;-29.78;-50.07;31700.00;1;11/12/2014;NULL;NULL;NULL;NULL;RS;XANGRI-LA;152;RSUEXG;16/05/2017;N;1;----RSUEXG-;49;25/09/2020;-297,767;-500,736;L;11/12/2014;S;N;N;901;78;USI-RSUEXG
RSVAR1;167;42;S;NULL;383;14;Vento Aragano;UEE;RSVAR1_GE_TOT_MW.v;EOL.CV.RS.030833-1.01;NULL;-32.42;-52.37;29700.00;1;30/04/2015;NULL;13.80;NULL;NULL;RS;VENTO ARAGANO;152;RSVAR1;16/05/2017;N;1;39-----;80;NULL;-324,145;-523,729;L;30/04/2015;S;N;S;87;40;CJT-39
RSVC01;168;50;S;NULL;365;14;Verace I;UEE;RSVC01_GE_TOT_MW.v;EOL.CV.RS.030745-9.01;NULL;-33.50;-53.27;20000.00;1;24/02/2015;NULL;8.50;NULL;NULL;RS;VERACE I;152;RSVC01;16/05/2017;N;1;41-----;39;NULL;-334,952;-532,711;L;24/02/2015;S;N;S;89;42;CJT-41
RSVC02;168;50;S;NULL;366;14;Verace II;UEE;RSVC02_GE_TOT_MW.v;EOL.CV.RS.030742-4.01;NULL;-33.51;-53.28;20000.00;1;24/02/2015;NULL;8.30;NULL;NULL;RS;VERACE II;152;RSVC02;16/05/2017;N;1;41-----;39;NULL;-335,086;-532,832;L;24/02/2015;S;N;S;89;42;CJT-41
RSVC03;168;50;S;NULL;367;14;Verace III;UEE;RSVC03_GE_TOT_MW.v;EOL.CV.RS.030746-7.01;NULL;-33.52;-53.28;26000.00;1;24/02/2015;NULL;11.00;NULL;NULL;RS;VERACE III;152;RSVC03;16/05/2017;N;1;41-----;39;NULL;-335,220;-532,790;L;24/02/2015;S;N;S;89;42;CJT-41
RSVC04;168;50;S;NULL;368;14;Verace IV;UEE;RSVC04_GE_TOT_MW.v;EOL.CV.RS.030741-6.01;NULL;-33.55;-53.23;30000.00;1;24/02/2015;NULL;13.10;NULL;NULL;RS;VERACE IV;152;RSVC04;16/05/2017;N;1;41-----;39;NULL;-335,516;-532,273;L;24/02/2015;S;N;S;89;42;CJT-41
RSVC05;168;50;S;NULL;370;14;Verace V;UEE;RSVC05_GE_TOT_MW.v;EOL.CV.RS.030829-3.01;NULL;-33.54;-53.30;30000.00;1;24/02/2015;NULL;12.40;NULL;NULL;RS;VERACE V;152;RSVC05;16/05/2017;N;1;41-----;39;NULL;-335,357;-533,012;L;24/02/2015;S;N;S;89;42;CJT-41
RSVC06;168;50;S;NULL;371;14;Verace VI;UEE;RSVC06_GE_TOT_MW.v;EOL.CV.RS.030740-8.01;NULL;-33.54;-53.28;18000.00;1;24/02/2015;NULL;7.60;NULL;NULL;RS;VERACE VI;152;RSVC06;16/05/2017;N;1;41-----;39;NULL;-335,431;-532,769;L;24/02/2015;S;N;S;89;42;CJT-41
RSVC07;168;50;S;NULL;372;14;Verace VII;UEE;RSVC07_GE_TOT_MW.v;EOL.CV.RS.030747-5.01;NULL;-33.57;-53.25;30000.00;1;24/02/2015;NULL;12.70;NULL;NULL;RS;VERACE VII;152;RSVC07;16/05/2017;N;1;41-----;39;NULL;-335,668;-532,460;L;24/02/2015;S;N;S;89;42;CJT-41
RSVC08;168;50;S;NULL;373;14;Verace VIII;UEE;RSVC08_GE_TOT_MW.v;EOL.CV.RS.030755-6.01;NULL;-33.55;-53.31;26000.00;1;24/02/2015;NULL;10.80;NULL;NULL;RS;VERACE VIII;152;RSVC08;16/05/2017;N;1;41-----;39;NULL;-335,530;-533,108;L;24/02/2015;S;N;S;89;42;CJT-41
